:0;:1;:2;u_x;u_y;u_z
9.5;0.15;0;0.00E+00;0.00E+00;9.99E-09
9.5;0.2;0;0.00E+00;0.00E+00;9.01E-10
9.5;0.25;0;0.00E+00;0.00E+00;1.01E-08
9.5;0.3;0;0.00E+00;0.00E+00;1.25E-09
9.5;0.35;0;0.00E+00;0.00E+00;1.01E-08
9.5;0.4;0;0.00E+00;0.00E+00;1.16E-09
9.5;0.45;0;0.00E+00;0.00E+00;1.01E-08
9.5;0.5;0;0.00E+00;0.00E+00;1.01E-09
9.55;0.5;0;0.00E+00;0.00E+00;9.35E-09
9.6;0.5;0;0.00E+00;0.00E+00;0.00E+00
9.65;0.5;0;0.00E+00;0.00E+00;7.60E-09
9.7;0.5;0;0.00E+00;0.00E+00;6.31E-10
9.75;0.5;0;0.00E+00;0.00E+00;5.55E-09
9.8;0.5;0;0.00E+00;0.00E+00;4.02E-10
9.85;0.5;0;0.00E+00;0.00E+00;3.25E-09
9.9;0.5;0;0.00E+00;0.00E+00;7.70E-11
9.95;0.5;0;0.00E+00;0.00E+00;1.01E-09
10;0.5;0;0.00E+00;0.00E+00;0.00E+00
9.45;0;0;0.00E+00;0.00E+00;1.05E-08
9.45;0.05;0;0.00E+00;0.00E+00;6.65E-10
9.45;0.1;0;0.00E+00;0.00E+00;1.07E-08
9.45;0.15;0;0.00E+00;0.00E+00;1.10E-09
9.45;0.2;0;0.00E+00;0.00E+00;1.08E-08
9.45;0.25;0;0.00E+00;0.00E+00;1.33E-09
9.45;0.3;0;0.00E+00;0.00E+00;1.08E-08
9.45;0.35;0;0.00E+00;0.00E+00;1.35E-09
9.45;0.4;0;0.00E+00;0.00E+00;1.08E-08
9.45;0.45;0;0.00E+00;0.00E+00;1.13E-09
9.45;0.5;0;0.00E+00;0.00E+00;1.07E-08
9.45;0.55;0;0.00E+00;0.00E+00;1.06E-09
9.5;0.55;0;0.00E+00;0.00E+00;1.01E-08
9.55;0.55;0;0.00E+00;0.00E+00;8.50E-10
9.6;0.55;0;0.00E+00;0.00E+00;8.53E-09
9.65;0.55;0;0.00E+00;0.00E+00;6.51E-10
9.7;0.55;0;0.00E+00;0.00E+00;6.65E-09
9.75;0.55;0;0.00E+00;0.00E+00;5.91E-10
9.8;0.55;0;0.00E+00;0.00E+00;4.43E-09
9.85;0.55;0;0.00E+00;0.00E+00;2.31E-10
9.9;0.55;0;0.00E+00;0.00E+00;2.10E-09
9.95;0.55;0;0.00E+00;0.00E+00;-1.68E-11
10;0.55;0;0.00E+00;0.00E+00;0.00E+00
9.4;0;0;0.00E+00;0.00E+00;0.00E+00
9.4;0.05;0;0.00E+00;0.00E+00;1.12E-08
9.4;0.1;0;0.00E+00;0.00E+00;1.16E-09
9.4;0.15;0;0.00E+00;0.00E+00;1.14E-08
9.4;0.2;0;0.00E+00;0.00E+00;1.44E-09
9.4;0.25;0;0.00E+00;0.00E+00;1.14E-08
9.4;0.3;0;0.00E+00;0.00E+00;1.46E-09
9.4;0.35;0;0.00E+00;0.00E+00;1.14E-08
9.4;0.4;0;0.00E+00;0.00E+00;1.29E-09
9.4;0.45;0;0.00E+00;0.00E+00;1.13E-08
9.4;0.5;0;0.00E+00;0.00E+00;8.49E-10
9.4;0.55;0;0.00E+00;0.00E+00;1.13E-08
9.4;0.6;0;0.00E+00;0.00E+00;9.83E-10
9.45;0.6;0;0.00E+00;0.00E+00;1.08E-08
9.5;0.6;0;0.00E+00;0.00E+00;1.18E-09
9.55;0.6;0;0.00E+00;0.00E+00;9.40E-09
9.6;0.6;0;0.00E+00;0.00E+00;1.01E-09
9.65;0.6;0;0.00E+00;0.00E+00;7.67E-09
9.7;0.6;0;0.00E+00;0.00E+00;7.81E-10
9.75;0.6;0;0.00E+00;0.00E+00;5.58E-09
9.8;0.6;0;0.00E+00;0.00E+00;3.99E-10
9.85;0.6;0;0.00E+00;0.00E+00;3.25E-09
9.9;0.6;0;0.00E+00;0.00E+00;4.77E-11
9.95;0.6;0;0.00E+00;0.00E+00;9.95E-10
10;0.6;0;0.00E+00;0.00E+00;0.00E+00
9.35;0;0;0.00E+00;0.00E+00;1.17E-08
9.35;0.05;0;0.00E+00;0.00E+00;1.09E-09
9.35;0.1;0;0.00E+00;0.00E+00;1.19E-08
9.35;0.15;0;0.00E+00;0.00E+00;1.51E-09
9.35;0.2;0;0.00E+00;0.00E+00;1.19E-08
9.35;0.25;0;0.00E+00;0.00E+00;1.54E-09
9.35;0.3;0;0.00E+00;0.00E+00;1.19E-08
9.35;0.35;0;0.00E+00;0.00E+00;1.37E-09
9.35;0.4;0;0.00E+00;0.00E+00;1.18E-08
9.35;0.45;0;0.00E+00;0.00E+00;1.06E-09
9.35;0.5;0;0.00E+00;0.00E+00;1.18E-08
9.35;0.55;0;0.00E+00;0.00E+00;0.00E+00
9.35;0.6;0;0.00E+00;0.00E+00;1.18E-08
9.35;0.65;0;0.00E+00;0.00E+00;1.39E-09
9.4;0.65;0;0.00E+00;0.00E+00;1.14E-08
9.45;0.65;0;0.00E+00;0.00E+00;1.32E-09
9.5;0.65;0;0.00E+00;0.00E+00;1.02E-08
9.55;0.65;0;0.00E+00;0.00E+00;1.29E-09
9.6;0.65;0;0.00E+00;0.00E+00;8.61E-09
9.65;0.65;0;0.00E+00;0.00E+00;1.08E-09
9.7;0.65;0;0.00E+00;0.00E+00;6.69E-09
9.75;0.65;0;0.00E+00;0.00E+00;5.76E-10
9.8;0.65;0;0.00E+00;0.00E+00;4.42E-09
9.85;0.65;0;0.00E+00;0.00E+00;1.14E-10
9.9;0.65;0;0.00E+00;0.00E+00;2.09E-09
9.95;0.65;0;0.00E+00;0.00E+00;-3.47E-11
10;0.65;0;0.00E+00;0.00E+00;0.00E+00
9.3;0;0;0.00E+00;0.00E+00;1.40E-09
9.3;0.05;0;0.00E+00;0.00E+00;1.24E-08
9.3;0.1;0;0.00E+00;0.00E+00;1.54E-09
9.3;0.15;0;0.00E+00;0.00E+00;1.24E-08
9.3;0.2;0;0.00E+00;0.00E+00;1.61E-09
9.3;0.25;0;0.00E+00;0.00E+00;1.24E-08
9.3;0.3;0;0.00E+00;0.00E+00;1.40E-09
9.3;0.35;0;0.00E+00;0.00E+00;1.23E-08
9.3;0.4;0;0.00E+00;0.00E+00;1.09E-09
9.3;0.45;0;0.00E+00;0.00E+00;1.22E-08
9.3;0.5;0;0.00E+00;0.00E+00;8.19E-10
9.3;0.55;0;0.00E+00;0.00E+00;1.22E-08
9.3;0.6;0;0.00E+00;0.00E+00;1.14E-09
9.3;0.65;0;0.00E+00;0.00E+00;1.23E-08
9.3;0.7;0;0.00E+00;0.00E+00;1.77E-09
9.35;0.7;0;0.00E+00;0.00E+00;1.19E-08
9.4;0.7;0;0.00E+00;0.00E+00;1.48E-09
9.45;0.7;0;0.00E+00;0.00E+00;1.08E-08
9.5;0.7;0;0.00E+00;0.00E+00;1.39E-09
9.55;0.7;0;0.00E+00;0.00E+00;9.45E-09
